	RCC4-EV	RCC4-VHL
FAM98C	144.58125778418	118.463905123209
FAM99A	0	0
FAM99B	0	0
FAM9A	0	0
FAM9B	0	0
FAM9C	0.389472012445503	0.64683115445442
FAN1	145.163335211971	118.235818050242
FANCA	293.580721871469	336.511392438666
FANCB	55.422673121727	32.0943935140551
FANCC	97.0432816926047	51.773268955411
FANCD2	111.008278338575	96.850615745251
FANCD2OS	0	0
FANCD2P2	0	0
FANCE	87.748656464624	66.9243644317412
FANCF	144.237012405366	120.410154126014
FANCG	423.719188320848	210.798518795404
FANCI	400.123320468378	628.593793888156
FANCL	250.72512598283	252.481469496335
FANCM	28.710370623422	23.5117597801672
FANK1	44.2380588331532	80.3627104722782
FANK1-AS1	0	0
FAP	0	0
FAR1	615.598401449725	603.94241824049
FAR1-IT1	0	6.17853347431793
FAR1P1	0	0
FAR2	131.853107880737	74.5629944068316
FAR2P1	0	0.338585807013472
FAR2P2	0	0
FAR2P3	0	1.94638240934813
FAR2P4	0	0
FARP1	1301.83708578217	3069.73721987193
FARP1-AS1	0	23.446962316256
FARP2	358.051007262418	319.256456715684
FARS2	183.798424261944	237.203828384602
FARSA	1524.80956111012	1459.55769080194
FARSA-AS1	0	0
FARSB	297.779516052189	257.479431294347
FARSBP1	0	0
FAS	302.69256177115	348.769814777536
FASLG	0	0
FASN	475.623326191092	394.51842517734
FASTK	983.43902830804	1020.93031693291
FASTKD1	243.341079070924	233.684277899957
FASTKD2	497.825903823586	457.630164006781
FASTKD3	91.5746359797609	154.338068113746
FASTKD5	341.32567518231	336.166384059494
FAT1	1577.76249202442	1676.79244639725
FAT1P1	0	0
FAT2	1.94490019821416	11.4354754891205
FAT3	3.94484711710517	0.130433483237656
FAT4	14.6942785344027	9.91201088025844
FATE1	0	0
FAU	10983.5217032055	9135.1905816461
FAUP1	5.04860940580715	0
FAUP2	0	0
FAXC	940.530593765634	466.087433706079
FAXDC2	10.3556594850806	52.9583383380358
FBF1	73.2710590224845	48.9001875217451
FBH1	458.287773514599	371.692279739586
FBL	7317.10241006645	5064.63606329082
FBLIM1	6.26271693296656	4.66339724537625
FBLL1	2.10047207030299	1.0596291157238
FBLN1	451.105880938972	550.938550155018
FBLN2	0	0
FBLN5	0	0
FBLN7	4.43193892976578	2.15510647545257
FBN1	0.629047272140074	14.9979447645684
FBN2	0	11.5503956971747
